"","cheese","url","milk","country","region","family","type","fat_content","calcium_content","texture","rind","color","flavor","aroma","vegetarian","vegan","synonyms","alt_spellings","producers"
"24","Aged Cashew & Dulse Cheese","https://www.cheese.com/aged-cashew-dulse-cheese/","","United States","Brooklyn NY",NA,"firm, artisan",NA,NA,"firm, spreadable",NA,"brown","creamy, oceanic","rich",TRUE,FALSE,NA,NA,"Dr. Cow Tree Nut Cheese"
"25","Aged Cashew & Hemp Seed Cheese","https://www.cheese.com/aged-cashew-hemp-seed-cheese/","","United States","Brooklyn NY",NA,"firm, artisan",NA,NA,"firm, spreadable",NA,"brown","creamy, mild, nutty, spicy","nutty, rich",TRUE,FALSE,NA,NA,"Dr. Cow Tree Nut Cheese"
"26","Aged Cashew Nut & Kale Cheese","https://www.cheese.com/aged-cashew-nut-kale-cheese/","","United States","Brooklyn NY",NA,"firm, artisan",NA,NA,"firm, spreadable",NA,"green","creamy, oceanic, tangy","rich",TRUE,FALSE,NA,NA,"Dr. Cow Tree Nut Cheese"
"27","Aged Cashew Nut Cheese","https://www.cheese.com/aged-cashew-nut-cheese/","","United States","Brooklyn NY",NA,"firm, artisan",NA,NA,"firm, spreadable",NA,"golden yellow","creamy, nutty, subtle","clean, fresh, nutty",TRUE,FALSE,"Cajun Aged Cashew Cheese, Smoked Aged Cashew Cheese, Truffle Aged Cashew Cheese, Reishi Mushroom Aged Cashew Cheese","Plain Aged Cashew Cheese","Dr. Cow Tree Nut Cheese"
"28","Aged Cheddar","https://www.cheese.com/aged-cheddar/","cow","United States",NA,NA,"hard",NA,NA,"buttery, creamy, crumbly","rindless","golden yellow","creamy, earthy, nutty","earthy, nutty",TRUE,FALSE,NA,NA,"Maple Grove Cheese, INC."
"29","Aged Chelsea","https://www.cheese.com/aged-chelsea/","goat","United States","Ann Arbor, Michigan",NA,"soft",NA,NA,"creamy, spreadable","mold ripened","ivory","acidic, buttery, sweet","goaty",FALSE,FALSE,NA,NA,"Zingermans.com LLC"
"30","Aged Gouda","https://www.cheese.com/aged-gouda/","cow, goat, sheep","Netherlands",NA,"Gouda","hard",NA,NA,"crumbly, crystalline, dense","waxed","yellow",NA,"rich",NA,NA,"Oud Gouda",NA,NA
"31","Aggiano","https://www.cheese.com/aggiano/","cow","United States","Utah",NA,"hard, artisan",NA,NA,"creamy, dry",NA,"cream","butterscotch, tangy","fruity",TRUE,FALSE,NA,NA,"Beehive Cheese Company"
"32","Ailsa Craig","https://www.cheese.com/ailsa-craig/","goat","Scotland, United Kingdom","Stewarton",NA,"semi-soft, artisan",NA,NA,"creamy, fluffy","rindless","white","creamy","goaty",TRUE,FALSE,NA,"Paddy's Milestone","Dunlop Dairy"
"33","Airedale","https://www.cheese.com/airedale/","cow","New Zealand","Airedale farming district",NA,"semi-soft, artisan",NA,NA,"smooth","waxed","pale yellow","full-flavored, milky, salty, tangy","grassy, strong",TRUE,FALSE,NA,"Aged Airedale","Whitestone Cheese"
"34","Aisy Cendre","https://www.cheese.com/aisy-cendre/","cow","France","Burgundy",NA,"semi-soft, smear-ripened","50%",NA,"creamy, smooth","washed","white","full-flavored, herbaceous, salty, smokey","earthy, nutty, smokey",FALSE,FALSE,"Cendre d'Aisy, Ashen Aisy",NA,NA
"35","Alex James Co. No 1 Cheddar","https://www.cheese.com/alex-james-co-no-1-cheddar/","cow","United Kingdom",NA,NA,"hard",NA,NA,"creamy, crumbly",NA,"yellow","sweet",NA,NA,NA,NA,NA,NA
"36","Alex James Co. No 2 Blue Monday","https://www.cheese.com/alex-james-co-no-2-blue-monday/","cow","United Kingdom",NA,NA,"semi-soft",NA,NA,"creamy, semi firm",NA,"blue",NA,"spicy, sweet",NA,NA,NA,NA,NA
"37","Alex James Co. No 3 Valley Brie","https://www.cheese.com/alex-james-co-no-3-valley-brie/","cow","United Kingdom",NA,NA,"soft, semi-soft",NA,NA,"buttery, creamy, semi firm, smooth, soft",NA,"pale white",NA,NA,NA,NA,NA,NA,NA
"38","Alex James Co. No 4 Goats'","https://www.cheese.com/alex-james-co-no-4-goats/","goat","United Kingdom",NA,NA,"fresh soft",NA,NA,"smooth, springy",NA,"pale white",NA,NA,NA,NA,NA,NA,NA
"39","Alex James Co. No 5 Grunge","https://www.cheese.com/alex-james-co-no-5-grunge/","cow","United Kingdom",NA,NA,"soft, semi-soft, organic",NA,NA,"creamy, soft","washed","orange",NA,NA,NA,NA,NA,NA,NA
"40","Alisia-Victoria","https://www.cheese.com/alisia-victoria/","cow","Switzerland",NA,NA,"firm",NA,NA,"smooth","natural","golden yellow","buttery","nutty",NA,NA,NA,NA,"Eyeweid"
"41","Allgauer Emmentaler","https://www.cheese.com/allgauer-emmentaler/","cow","Germany","Swabia",NA,"hard","45%",NA,"firm","natural","yellow","nutty","pungent",FALSE,FALSE,NA,NA,NA
"42","Allium Piper","https://www.cheese.com/allium-piper/","goat","Australia","South Australia",NA,"fresh soft, artisan","45%",NA,"creamy, soft",NA,"white","garlicky, spicy","fresh, garlicky, spicy",TRUE,FALSE,"Woodside Chevre - Allium Piper, Woodside Allium Piper",NA,"Woodside Cheese Wrights"
"43","Alma Vorarlberger Alpkäse (3-5 months)","https://www.cheese.com/alma-vorarlberger-alpkase-3-5-months/","cow","Austria","Vorarlberg",NA,"hard, artisan","34%",NA,"firm","natural","yellow","mild, spicy","mild, spicy",FALSE,FALSE,"Vorarlberg Alpine cheese 3-5 months",NA,"Rupp AG"
"44","Alma Vorarlberger Alpkäse (6-9 months)","https://www.cheese.com/alma-vorarlberger-alpkase-6-9-months/","cow","Austria","Vorarlberg",NA,"hard, artisan","34%",NA,"firm","natural","yellow","spicy, strong","spicy, strong",FALSE,FALSE,"Vorarlberg Alpine cheese 6-9 months",NA,"Rupp AG"
"45","Alma Vorarlberger Bergkäse (10 months)","https://www.cheese.com/alma-vorarlberger-bergkase-10-months/","cow","Austria","Bregenzerwald, Kleinwalsertal, Großwalsertal, Laiblachtal (Pfänderstock) and Rheintal",NA,"hard, artisan","34%",NA,"brittle, firm, flaky, open","natural","yellow","piquant, spicy, strong, tangy","aromatic, strong",FALSE,FALSE,"Rupp Vorarlberger Bergkäse","Vorarlberger Bergkase 10 months","Rupp AG"
"46","Alma Vorarlberger Bergkäse (12 months)","https://www.cheese.com/alma-vorarlberger-bergkase-12-months/","cow","Austria","Bregenzerwald, Kleinwalsertal, Großwalsertal, Laiblachtal (Pfänderstock) and Rheintal",NA,"hard, artisan","34%",NA,"brittle, firm, flaky, open","natural","yellow","piquant, spicy, strong, tangy","aromatic, strong",FALSE,FALSE,"Rupp Vorarlberger Bergkäse","Vorarlberger Bergkase 12 months","Rupp AG"
"47","Alma Vorarlberger Bergkäse (6 months)","https://www.cheese.com/alma-vorarlberger-bergkase-6-months/","cow","Austria","Bregenzerwald, Kleinwalsertal, Großwalsertal, Laiblachtal (Pfänderstock) and Rheintal",NA,"hard, artisan","34%",NA,"firm, open, supple","natural","cream","piquant, spicy, tangy","aromatic",FALSE,FALSE,"Rupp Vorarlberger Bergkäse","Vorarlberger Bergkase 6 months","Rupp AG"
"48","Almnäs Tegel","https://www.cheese.com/almnas-tegel/","cow","Sweden","Västra Götaland",NA,"hard, smear-ripened",NA,NA,"open, smooth","washed","straw","caramel, fruity, nutty","fruity, sweet",FALSE,FALSE,NA,"Almnas Tegel","Almnäs Bruk"
"49","Alpe di Frabosa","https://www.cheese.com/alpe-di-frabosa/","cow","Italy",NA,NA,"semi-soft",NA,NA,"",NA,NA,"bitter","milky, mushroom",FALSE,FALSE,NA,NA,NA
"50","Alpha Tolman","https://www.cheese.com/alpha-tolman/","cow","United States","Greensboro, VT","Swiss Cheese","semi-hard, artisan",NA,NA,"dense, elastic, smooth","washed","yellow","buttery, caramel, fruity, full-flavored, nutty","fruity, nutty",NA,NA,NA,NA,"Jasper Hill Farm"
"51","Alpicrème","https://www.cheese.com/alpicreme/","goat","France",NA,NA,"soft",NA,NA,"",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"52","Alpine Gold","https://www.cheese.com/alpine-gold/","cow","Canada","British Columbia",NA,"semi-soft, brined",NA,NA,"supple","washed","cream","floral, grassy, savory","earthy, floral, rich",FALSE,FALSE,NA,NA,"The Farm House Natural Cheeses"
"53","Alpkäse","https://www.cheese.com/alpkase/","cow","Switzerland",NA,NA,"hard",NA,NA,"dense","natural","golden yellow","herbaceous","rich",FALSE,FALSE,"Alpkase",NA,"Jumi"
"54","Alps Rebel","https://www.cheese.com/alps-rebel/","cow","Austria","Sulzberg",NA,"semi-hard, artisan","48%",NA,"creamy, open","natural","yellow","buttery, citrusy, milky, piquant","fruity, lactic, milky, nutty",NA,NA,"Alpenrebell",NA,"Sulzberger Käserebellen Sennerei GmbH"
"55","Alta Badia","https://www.cheese.com/alta-badia/","cow","Italy",NA,NA,"semi-soft","33.5 g/100g",NA,"firm",NA,NA,"milky, sharp, tangy",NA,FALSE,FALSE,NA,NA,"Mila LATTE MONTAGNA ALTO ADIGE"
"56","Alverca","https://www.cheese.com/alverca/","goat, sheep","Portugal",NA,NA,"semi-hard","40-50%",NA,"",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"57","Amablu Blue cheese","https://www.cheese.com/amablu-blue-cheese/","cow","United States",NA,"Blue","semi-soft, artisan, blue-veined",NA,NA,"crumbly",NA,NA,"tangy",NA,FALSE,FALSE,NA,NA,"Caves of Faribault"
"58","Amalthée","https://www.cheese.com/amalthee/","goat","France","Charentes-Poitou",NA,"soft, soft-ripened",NA,NA,"","bloomy",NA,"grassy, mild, sweet","goaty, grassy, mild, sweet",FALSE,FALSE,NA,NA,NA
"59","Amarelo de Beira Baixa","https://www.cheese.com/amarelo-de-beira-baixa/","goat, sheep","Portugal","Beira Baixa Province",NA,"semi-firm, artisan","45-60%",NA,"",NA,"yellow","acidic",NA,FALSE,FALSE,"Amarelo da Beira Baixa Cheese (DOP), Queijo amarelo da Beira Baixa",NA,NA
"60","Ameribella","https://www.cheese.com/ameribella/","cow","United States","Indiana",NA,"semi-soft, artisan",NA,NA,"creamy, runny, smooth, spreadable","washed","straw","mushroomy, salty, savory, sweet","earthy, grassy, lactic",NA,NA,"Arabella",NA,"Jacobs & Brichford Farmstead Cheese"
"61","American Cheese","https://www.cheese.com/american-cheese/","cow","United States",NA,NA,"semi-soft, processed",NA,NA,"smooth","rindless","yellow",NA,"mild",FALSE,FALSE,NA,NA,NA
"62","Ami du Chambertin","https://www.cheese.com/ami-du-chambertin/","cow","France","Gevrey-Chambertin, Burgundy",NA,"semi-soft, artisan, brined","45%",NA,"smooth","washed","white","buttery, sharp",NA,FALSE,FALSE,"L'Ami du Chambertin",NA,NA
"63","Amish Frolic","https://www.cheese.com/amish-frolic/","cow","United States","Milford, NJ",NA,"hard, artisan",NA,NA,"flaky, open","natural","pale yellow","grassy, nutty, sweet","grassy",FALSE,FALSE,NA,NA,"Bobolink Dairy"
"64","Amou","https://www.cheese.com/amou/","sheep","France","Amou, Gascony",NA,"firm","45%",NA,"",NA,"golden yellow",NA,NA,FALSE,FALSE,"l'Amou, Amu",NA,NA
"65","Amsterdammer (British Columbia)","https://www.cheese.com/amsterdammer-british-columbia/","","Canada","Comox Valley, Vancouver Island",NA,"semi-soft, firm","30%",NA,"buttery, creamy","natural","pale yellow","buttery, creamy","aromatic, buttery",FALSE,FALSE,NA,NA,"Natural Pastures Cheese Company"
"66","Amul Cheese Spread","https://www.cheese.com/amul-cheese-spread/","cow","India","Gujarat",NA,"soft, processed",NA,NA,"creamy, spreadable",NA,NA,"creamy, salty, savory, spicy",NA,TRUE,FALSE,NA,NA,"Gujarat Cooperative Milk Marketing Federation (Amul)"
"67","Amul Emmental","https://www.cheese.com/amul-emmental/","cow","India","Gujarat","Swiss Cheese","semi-hard","46%","488 mg/100g","firm, open","artificial","yellow","sweet","nutty",TRUE,FALSE,NA,NA,"Gujarat Cooperative Milk Marketing Federation (Amul)"
"68","Amul Gouda","https://www.cheese.com/amul-gouda/","cow","India","Gujarat","Gouda","semi-hard","46%","492 mg/100g","compact, dense, firm, springy","plastic","yellow","fruity, sweet","mild",TRUE,FALSE,NA,NA,"Gujarat Cooperative Milk Marketing Federation (Amul)"
"69","Amul Pizza Mozzarella Cheese","https://www.cheese.com/amul-pizza-mozzarella-cheese/","cow","India","Gujarat","Mozzarella","semi-soft, processed","30-40%","492 mg/100g","elastic, stringy","artificial","yellow","salty","pleasant",TRUE,FALSE,NA,NA,"Gujarat Cooperative Milk Marketing Federation (Amul)"
"70","Amul Processed Cheese","https://www.cheese.com/amul-processed-cheese/","cow, water buffalo","India","Gujarat","Cheddar","hard, processed","26%","343 mg/100g","crumbly, dense","artificial","yellow","buttery, creamy, salty",NA,TRUE,FALSE,NA,NA,"Gujarat Cooperative Milk Marketing Federation (Amul)"
"71","Anari","https://www.cheese.com/anari/","goat, sheep","Cyprus","island wide","Cottage","fresh soft, hard, artisan","8%",NA,"brittle, creamy, flaky","natural","white","creamy, mild, salty",NA,NA,NA,"Dry Anari, Fresh Anari",NA,NA
"72","Anejo Enchilado","https://www.cheese.com/anejo-enchilado/","cow, goat","Mexico",NA,NA,"semi-hard",NA,NA,"crumbly, firm",NA,"white","salty, sharp, spicy, strong","strong",FALSE,FALSE,"Queso Añejo, Añejo",NA,NA
"73","Anneau du Vic-Bilh","https://www.cheese.com/anneau-du-vic-bilh/","goat","France","Pyrenees-Atlantiques","Cottage","soft, artisan","45%",NA,"creamy, smooth",NA,"white","acidic, nutty, salty, smokey","earthy, nutty, smokey",FALSE,FALSE,NA,NA,NA
"74","Anniversary Ale Cheddar","https://www.cheese.com/anniversary-ale-cheddar/","cow","United States","Northwest","Cheddar","semi-hard, artisan",NA,NA,"dense, firm",NA,NA,"creamy, mild, sweet","floral, fruity",TRUE,FALSE,NA,NA,"Rogue Creamery"
"75","Anster","https://www.cheese.com/anster/","cow","Scotland","Fife",NA,"semi-hard, artisan",NA,NA,"crumbly, dry",NA,"ivory","milky","milky, rich",NA,NA,NA,NA,"St Andrews Farmhouse Cheese Company"
"76","Anthotyro","https://www.cheese.com/anthotyro/","goat, sheep","Greece","Macedonia, Thrace, Thessalia, Peloponissos, Ionian Islands, Aegean islands, Crete Island and Epirus",NA,"hard, whey","30%","318 mg/100g","crumbly","natural","white","salty, tangy","strong",NA,NA,"Anthotyro Fresco, Anthotyro","Anthotiro, Antotiro",NA
"77","Anthotyro Fresco","https://www.cheese.com/anthotyro-fresco/","goat, sheep","Greece","Macedonia, Thrace, Thessalia, Peloponissos, Ionian Islands, Aegean islands, Crete Island and Epirus",NA,"semi-soft, whey","20%",NA,"creamy, smooth","rindless","white","sweet",NA,NA,NA,"Fresh Anthotyro, Anthotiro",NA,NA
"78","Aphrodite Goat Milk Halloumi","https://www.cheese.com/aphrodite-haloumi/","goat","Cyprus",NA,NA,"semi-soft, artisan",NA,NA,"soft","rindless","white","lemony, tangy","strong",NA,NA,"Aphrodite Artisan Goat Milk Halloumi",NA,NA
"79","Appalachian","https://www.cheese.com/appalachian/","cow","United States","Virginia","Tomme","semi-soft, artisan",NA,NA,"firm","mold ripened","white","buttery, lemony, mushroomy","earthy, grassy, lactic",NA,NA,NA,NA,"Meadow Creek Dairy"
"80","Appenzeller","https://www.cheese.com/appenzeller/","cow","Switzerland",NA,NA,"hard, artisan",NA,NA,"firm","washed",NA,"fruity, nutty","strong",NA,NA,NA,"Appenzeller Classic, Appenzeller Surchoix, Appenzeller Extra",NA
"81","Apple Walnut Smoked","https://www.cheese.com/apple-walnut-smoked/","cow","United States","Utah","Cheddar","hard, artisan",NA,NA,"creamy, smooth",NA,"yellow","nutty, smokey , sweet","nutty, smokey, sweet",TRUE,FALSE,"Smoked Apple Walnut, Promontory Apple Walnut Smoked",NA,"Beehive Cheese Company"
"82","Appleby's Double Gloucester","https://www.cheese.com/applebys-double-gloucester/","cow","England, Great Britain, United Kingdom","Gloucestershire",NA,"hard, artisan","54.23 g/100g",NA,"crumbly, dense, firm, flaky, smooth","natural","golden yellow","mellow, milky, nutty, subtle, tangy","subtle, sweet",TRUE,FALSE,NA,NA,"Appleby's"
"83","Applewood","https://www.cheese.com/applewood/","cow","England, Great Britain, United Kingdom","Somerset","Cheddar","semi-hard",NA,NA,"crumbly, dense","natural","yellow","smokey , spicy","smokey",TRUE,FALSE,"Applewood smoked cheddar",NA,"Ilchester Cheese Company"
"84","Applewood Smoked Chevre","https://www.cheese.com/applewood-smoked-chevre/","goat","United States","Colorado",NA,"semi-soft, artisan",NA,NA,"creamy, crumbly, firm","rindless","white","subtle","woody",TRUE,FALSE,NA,NA,"Haystack Mountain Creamery"
"85","Aragon","https://www.cheese.com/aragon/","","Spain",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","Ardi Gasna","https://www.cheese.com/ardi-gasna/","sheep","France","Midi-Pyrénées",NA,"hard, artisan","45%",NA,"firm, supple","washed","pale yellow","mild, nutty, sharp","fresh",FALSE,FALSE,NA,NA,NA
"87","Ardrahan","https://www.cheese.com/ardrahan/","cow","Ireland","Duhallow",NA,"semi-soft, brined","25%",NA,"chalky, smooth","washed","yellow","acidic, buttery, nutty","earthy, pungent",TRUE,FALSE,NA,NA,"Ardrahan Dairy Products Ltd."
"88","Ardsallagh Hard Goat's Cheese","https://www.cheese.com/ardsallagh-hard-goats-cheese/","goat","Ireland","Carrigtwohill",NA,"semi-hard, artisan",NA,NA,"firm, smooth","natural","white","nutty, salty, smooth",NA,TRUE,FALSE,NA,NA,"Ardsallagh Goats Farm"
"89","Ardsallagh Smoked Cheese","https://www.cheese.com/ardsallagh-smoked-cheese/","goat","Ireland","Carrigtwohill",NA,"semi-hard, artisan",NA,NA,"firm, smooth","natural","white","mild, nutty, smokey , sweet",NA,TRUE,FALSE,NA,NA,"Ardsallagh Goats Farm"
"90","Ardsallagh Soft Goat's Cheese","https://www.cheese.com/ardsallagh-soft-goats-cheese/","","","Carrigtwohill",NA,NA,NA,NA,"","natural","white",NA,NA,TRUE,FALSE,NA,NA,"Ardsallagh Goats Farm"
"91","Armenian String Cheese","https://www.cheese.com/armenian-string-cheese/","cow, goat, sheep","Armenia",NA,NA,"semi-soft",NA,NA,"creamy, smooth, springy",NA,"white","mild",NA,NA,NA,"Syrian String Cheese, Chechil",NA,NA
"92","Aromes au Gene de Marc","https://www.cheese.com/aromes-au-gene-de-marc/","cow, goat","France","Rhône-Alpes",NA,"semi-soft, artisan","25%",NA,"creamy, flaky","natural","white","strong","fermented, pungent",FALSE,FALSE,NA,NA,NA
"93","Arådalen","https://www.cheese.com/aradalen/","cow","Sweden","Oviken","Blue","soft, artisan, blue-veined","34%",NA,"creamy","mold ripened","ivory","sweet",NA,NA,NA,NA,NA,"Oviken cheese"
"94","Ascutney Mountain","https://www.cheese.com/ascutney-mountain/","cow","United States","Vermont","Swiss Cheese","hard, artisan",NA,NA,"chewy, dense","natural",NA,"mild, nutty, sweet","herbal, sweet",TRUE,FALSE,NA,NA,"Cobb Hill Farm"
"95","Asher Blue","https://www.cheese.com/asher-blue/","cow","United States","Georgia","Blue","semi-soft, blue-veined",NA,NA,"creamy, crumbly","natural","straw","grassy, milky, mushroomy, salty, sweet, tangy","earthy, rich, strong",TRUE,FALSE,NA,NA,"Sweet Grass Dairy"
"96","Ashley","https://www.cheese.com/ashley/","cow","United States","Colorado",NA,"soft, artisan, soft-ripened",NA,NA,"creamy, soft","ash coated","cream","sweet",NA,NA,NA,"MouCo Ashley",NA,"MouCo Cheese Company"
"97","Asiago DOP","https://www.cheese.com/asiago/","cow","Italy","Veneto, Trentino",NA,"hard","34-48%",NA,"compact, crumbly, open, smooth","natural","yellow","full-flavored, milky, sharp","pungent",FALSE,FALSE,NA,NA,NA
"98","Asiago d’Allevo DOP","https://www.cheese.com/asiago-dallevo/","cow","Italy","Veneto",NA,"hard","34%",NA,"compact","natural","pale yellow","savory","pleasant, yeasty",FALSE,FALSE,"Asiago Aged, Asiago D’Allevo DOP Mitica®, Asiago Mezzano",NA,NA
"99","Asiago Pressato DOP","https://www.cheese.com/asiago-pressato/","cow","Italy","Veneto",NA,"semi-soft","48%",NA,"creamy, smooth","natural","white","nutty, sweet","fresh",FALSE,FALSE,"Asiago Fresco, Asiago Fresco DOP Mitica®","Pressato",NA
"100","Aspen Ash","https://www.cheese.com/aspen-ash/","goat","United States","Colorado",NA,"soft, soft-ripened",NA,NA,"creamy","ash coated","white","acidic, creamy","earthy",TRUE,FALSE,NA,NA,"Haystack Mountain Creamery"
"101","Assa","https://www.cheese.com/assa/","goat","United States","Tomales, California",NA,NA,NA,NA,"","natural",NA,NA,NA,NA,NA,NA,NA,"Tomales Farmstead Creamery"
"102","Aubisque Pyrenees","https://www.cheese.com/aubisque-pyrenees/","cow, sheep","France","Béarnaise in Pyrénées-Atlantique",NA,"semi-hard",NA,NA,"smooth","natural",NA,"mild, smooth",NA,FALSE,FALSE,NA,NA,NA
"103","Auld Lochnagar","https://www.cheese.com/auld-lochnagar/","cow","Scotland",NA,NA,"hard",NA,NA,"compact, crumbly","natural","orange","grassy, mellow, subtle, tangy","mild",NA,NA,NA,NA,"The Cambus O’May Cheese Company"
"104","Auld Reekie","https://www.cheese.com/auld-reekie/","cow","Scotland",NA,NA,"hard",NA,NA,"buttery, compact, crumbly","natural","orange","smokey , tangy, woody","fruity, smokey, woody",FALSE,FALSE,NA,NA,"The Cambus O’May Cheese Company"
"105","Aura","https://www.cheese.com/aura/","cow","Finland","Äänekoski","Blue","semi-soft, blue-veined",NA,NA,"creamy","mold ripened","pale yellow","salty, sharp, strong, tangy",NA,FALSE,FALSE,"Auro Gold",NA,"Valio"
